",",IMAGE,,BOX NO,SKU,,NOT SHOW,,link,COLOR,ok,AZMEER STATUS CHECK,Cetagory,live status, ,SELL PRICE,HUZIAF AUDIT,PRICE,TOTAL INSTOCK,1016,IN STOCK,COST,SHIPPING CHINA,TOTAL INR,FREIGHT,T.COST,SELL PRICE,TOTAL COST,2026798.78
,,,97,GX30-blue-38,Not Show ,DN,ok,,blue,38,ok,Formal,Yes ,ok,3209,22158-23794-26767,,,In Stock,,76,8,1092,1200,2292,3209,,
,,,98,C97,Done ,DN,ok,FIX,white,40,ok,loafers,Yes ,ok,2463,,,,In Stock,,35,8,559,1200,1759,2463,,
,,,99,A41-black-41,Done ,DN,ok,FIX,black,41,ok,loafers,Yes ,ok,2554,20217-20254-20414-20548-20850-21227-21234-21289-21321-21583-21985-22015-22020-22099-22388-22492-22559-22568-22830-23042-23085-23086-23372-23413-23553-24427-24549-24918-25057-25786-25344-25355-25384-25806,,,Damage SOLD OUT,,40,8,624,1200,1824,2554,,
,,ok,100,3414254-black-44,Done ,DN,ok,FIX,black,44,not showing,Semi formal,Yes ,ok,3282,20246-21028-21051-21253-22122-22176-22203-22214-22481-24389-24815,4499,,In Stock,,80,8,1144,1200,2344,3282,,
,,,101,tnvi080,Done ,DN,ok,FIX,black,41,ok,Semi formal,Yes ,ok,3282,,3750,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,102,tnvi080,Done ,DN,ok,FIX,black,41,ok,Semi formal,Yes ,ok,3282,,3750,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,OK,103,SK0725US-brown flower-45,Done ,DN,ok,FIX,brown,45,ok,Semi formal,Yes ,ok,3373,,,,In Stock,,85,8,1209,1200,2409,3373,,
,,,104,SK0955US-wine red-41,,NO ,,,red wine,41,,loafers,Yes ,ok,,,,DISPATCH,Sold Out,,,,,,,,,
,,ok,105,C93,Done ,DN,ok,FIX,brown,39,ok,loafers,No ,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,ok,106,C95-red-41,Done ,DN,ok,FIX,Red,41,ok,loafers,Yes ,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,,107,C90,Done ,DN,ok,FIX,gray,42,ok,loafers,Yes ,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,ok,108,C95-brown-42,Done ,DN,ok,FIX,brown,42,ok,loafers,Yes ,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,,109,3414338,Done ,DN,ok,FIX,brown,38,,Semi formal,done,ok,3282,20186-20579-20775-21025-21176-21182-21588-21708-21864-21866-21946-22486-22903-23796-23891-24076-24752-25301-25526,,,Sold Out,1900,80,8,1144,1200,2344,3282,,
,,ok,110,C95-brown-44,Done ,DN,ok,FIX,brown,44,ok,loafers,Yes ,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,ok,111,C95-red-42,Done ,DN,ok,FIX,Red,42,ok,loafers,,ok,2372,,,,In Stock,,30,8,494,1200,1694,2372,,
,,ok,112, ,,,NO,,Gray,42,,loafers,,no,2645,,,,In Stock,,45,8,689,1200,1889,2645,,
,,,113,3414625,,,,FIX,Black,41,,Semi formal,Yes ,ok,3373,22596,,G MISSING OUT,Sold Out,,85,8,1209,1200,2409,3373,,
,,ok,114,1189740-black-38,Done ,DN,ok,,black,38,ok,Semi formal,Yes ,ok,3282,25151-25262-25658,,,In Stock,,80,8,1144,1200,2344,3282,,
,,,115,SK0925US-beige-39,Done ,NOT SHOW ,ok,FIX,beige,39,ok,sneaker,Yes ,ok,3100,,2800,,Damage SOLD OUT,,70,8,1014,1200,2214,3100,,
,,,116,gx5004-black-40,Not Show ,DN,ok,FIX,Black,40,ok,Semi formal,Yes ,ok,2827,26285-26287-26488-26563-26940-26982,3750,,In Stock,,55,8,819,1200,2019,2827,,
 ,,,117,5508186-gray-40,Done ,DN,ok,FIX,gray,40,ok,sneaker,Yes ,ok,3009,8562-9205-11577-11713-12112-112369-13278-13321-13674-13700-13859-13930-14068-14196-14954-15504-16136-17049-17604-17678-17726-18198-18202-18240-18299-18332-18353-18356-18534-18621-19186-21202-21248-23660-24728-26285-26287-26488-26563-26940-26982,,,In Stock,,65,8,949,1200,2149,3009,,
,,ok,118,KA-2105 black-44,Done ,DN,ok,,black,44,ok,loafers,Yes ,ok,3191,26285-26287-26488-26563-26940-26982,,,In Stock,,75,8,1079,1200,2279,3191,,
,,,119,GX029120-red-43,Done ,DN,ok,FIX,Red,43,ok,sneaker,Yes ,ok,3282,,,,In Stock,,80,8,1144,1200,2344,3282,,
,,,120,3414254-black-43,Done ,DN,ok,FIX,black,43,not showing,Semi fromal,Yes ,ok,3373,21051-22176-22203-22481,4499,,Damage SOLD OUT,,85,8,1209,1200,2409,3373,,
,,,121,GX30,,,,,gray,39,,fromal,Yes ,ok,,,,,Sold Out,,,,,,,,,
,,,122,3414678-Red-41,Done ,DN,ok,FIX,red,41,ok,Semi fromal,,ok,4010,20281-20509-20589-20590-20880-21092-21299-21337-21341-21639-21710-21785-21918-22070-22137-22500-22656-22820-22954-23088-23199-23855-23857-24119-24260-24337-25233-25886,,,Damage SOLD OUT,,120,8,1664,1200,2864,4010,,
,,,123,sh397-orange-40,,No ,,FIX,brown,40,,slipper,Yes ,ok,,,,OUT SUNNY SIR,Sold Out,,,,,,,,,
,,,124,3414411-orange-8-5,Done ,DN,ok,FIX,brown,40,ok,semi formal,Yes ,ok,3209,16731-18053-19409-24068-24315,,,In Stock,,76,8,1092,1200,2292,3209,,
,,,125,sh400-brown-39,Done ,DN,ok,FIX,brown,39,ok,slipper,Yes ,ok,3009,9460-9567-11978-12538-12654-12693-12777-12813-12855-12890-12918-12984-13203-13217-13357-13365-13417-13449-13496-13497-13961-14370-14680-15085-15206-15391-15619-15761-15904-16084-16194-16286-16685-16807-17003-17152-17356-17881-22131-24461,,,In Stock,,65,8,949,1200,2149,3009,,
,,,126,3414632,Done ,DN,ok,FIX,brown,44,,Semi formal,Yes ,ok,3282,27147,,,Sold Out,,80,8,1144,1200,2344,3282,,
,,,127,3414338,Done ,DN,ok,FIX,Black,43,ok,Semi formal,done,ok,3373,25526-25301-24752-24076-23891-23796-22903-22486-21946-21866-21864-21708-21588-21182-21176-21025-20775-20579-20186,,,Damage SOLD OUT,1900,85,8,1209,1200,2409,3373,,
,,,128,1189740,,,,,Brown,41,,Semi formal,Yes ,ok,3373,25658-25262-25151,,G MISSING OUT,Sold Out,,85,8,1209,1200,2409,3373,,
,,ok,129,1189740-black-38,Done ,DN,ok,3414,Black,38,ok,Semi formal,Yes ,ok,3373,,,,In Stock,,85,8,1209,1200,2409,3373,,
,,,130,3414360,,DN,ok,,Red,43,,Semi formal,Yes ,ok,,25983-25839-25428-24913-24720-24199-24000-22557-22477-22316-22242-22175-22174-22159-22135-22097-21926-21675-21412-21390,,,Sold Out,,,,,,,,,
,,,131,GX30-gray-45,Not Show ,DN,ok,,gray,45,ok,Formal,Yes ,ok,3427,,,,In Stock,,88,8,1248,1200,2448,3427,,
,,,132,GX3-Whitered-7,Done ,DN,ok,FIX,red,40,ok,Sneaker,Yes ,ok,3828,,2850,,Damage SOLD OUT,,110,8,1534,1200,2734,3828,,
,,,133,sh440,,,,FIX,white,39,,semi slipper,Yes ,ok,,21073,,,Sold Out,,,,,,,,,
,,,134,SK0923US-red-42,Done ,DN,ok,,red,42,ok,formal,Yes ,ok,3282,,,,Damage SOLD OUT,,80,8,1144,1200,2344,3282,,
,,,135,tnv30,Done ,ok,,,black,40,,semi formal,Yes ,ok,,26904-26695-26420-25120-24776-24540-23517,,,Sold Out,,,,,,,,,
,,,136,SG6882,Not Show ,NoT SHOW,ok,FIX,Black,44,ok,formal,Yes ,ok,3282,,,,In Stock,,80,8,1144,1200,2344,3282,,
,,,137,3414360,Done ,DN ,ok,,black,39,ok,semi formal,Yes ,ok,,,,,Damage SOLD OUT,,70,8,1014,1200,2214,3100,,
,,,138,JJ-001-Black-43,Done ,DN ,ok,FIX,black,43,ok,formal,Yes ,ok,4556,,,,In Stock,,150,8,2054,1200,3254,4556,,
,,,139,sh400-brown-43,,No ,ok,FIX,Brown,43,,Slipper,No,ok,,,,,Sold Out,,,,,,,,,
,,,140,SK0991US-brown-42,Done ,DN,ok,FIX,Brown,42,,formal,Yes ,ok,3464,,,,Sold Out,,90,8,1274,1200,2474,3464,,
,,ok,141,JJ-5001-black-39,Done ,DN ,ok,FIX,black,38,ok,formal,Yes ,ok,3555,,,,In Stock,,95,8,1339,1200,2539,3555,,
,,,142,A57,Done ,DN,ok,FIX,black,40,,loafers,Yes ,ok,2463,20678-20716-202955-22193-22944-23691-23748-23872-24982-24485-24861-25794-25849,,,Sold Out,,35,8,559,1200,1759,2463,,
,,,143,WA08,Done ,DN,ok,FIX,black,43,ok,loafers,Yes ,ok,2463,20317-20430-21042-21708-22378-23283-23515-25134-26487-26500-26980,,,In Stock,,35,8,559,1200,1759,2463,,
,,,144,   OCC02-black-43,Done ,DN,ok,FIX,black,43,ok,semi fromal,,ok,4556,,,,In Stock,,150,8,2054,1200,3254,4556,,
,,,145,tnv79-black-41,,No ,,,black,41,,semi fromal,Yes ,,,19408-19758-19760-19778-20097-20151-20204-20327-20350-20373-20419-20566-20561-20633-20685-20739-20849-20017-21037-21403-21435-21482-21483-21484-21567-21624-21725-21775-21793-22012-22035-22105-22412-22758-22905-23109-23388-23404-23433-23488-23711-23899-24085-24245-24295-24406-24407-24428-25255-27030,,,Sold Out,,,,,,,,,
,,,146,d07-black-43,Done ,DN,ok,FIX,black,43,ok,loafers,Yes ,ok,2463,26948,,,In Stock,,35,8,559,1200,1759,2463,,
